FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
8,beam_unbroken_door2_ir,1202.131,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1203.48,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1203.487,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1203.493,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1203.933,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1203.953,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1203.973,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_broken_door2_ir,1203.983,reward_phase,reward_phase,,,ID:door2_ir|,8
8,beam_unbroken_door2_ir,1204.312,reward_phase,reward_phase,,,ID:door2_ir|,8
8,close_start_door_2,1212.736,reward_phase,reward_phase,,,ID:door_2|,8
8,close_finished_door_2,1214.292,reward_phase,reward_phase,,,ID:door_2|,8
8,output_activated,1214.295,reward_phase,reward_phase,,,ID:round_LED|,8
8,output_deactivated,1217.003,reward_phase,reward_phase,,,ID:round_LED|,8
9,new_round,1262.011,lever_2_out,lever_2_out,,,ID:round_LED|,9
9,output_activated,1262.012,lever_2_out,lever_2_out,,,ID:round_LED|,9
9,tone_start_round_start,1262.041,lever_2_out,lever_2_out,,,ID:speaker|,9
9,output_deactivated,1262.514,lever_2_out,lever_2_out,,,ID:round_LED|,9
9,tone_stop_round_start,1263.047,lever_2_out,lever_2_out,,,ID:speaker|,9
9,lever_extended_lever_2,1263.918,lever_2_out,lever_2_out,,,ID:lever_2|,9
9,tone_start_door_1_open,1322.059,lever_2_out,lever_2_out,,,ID:speaker|,9
9,lever_retracted_lever_2,1322.466,lever_2_out,lever_2_out,,,ID:lever_2|,9
9,open_start_door_1,1323.022,reward_phase,reward_phase,,,ID:door_1|,9
9,tone_stop_door_1_open,1323.064,reward_phase,reward_phase,,,ID:speaker|,9
9,open_finished_door_1,1324.626,reward_phase,reward_phase,,,ID:door_1|,9
9,door_1_open_|_beam_broken_door1_ir,1338.554,reward_phase,reward_phase,15.533,,beam_ID:door1_ir|,9
9,beam_broken_door1_ir,1338.554,reward_phase,reward_phase,,,ID:door1_ir|,9
9,beam_unbroken_door1_ir,1338.69,reward_phase,reward_phase,,,ID:door1_ir|,9
9,beam_broken_door1_ir,1340.483,reward_phase,reward_phase,,,ID:door1_ir|,9
9,beam_unbroken_door1_ir,1348.245,reward_phase,reward_phase,,,ID:door1_ir|,9
9,beam_broken_door1_ir,1358.253,reward_phase,reward_phase,,,ID:door1_ir|,9
9,beam_unbroken_door1_ir,1361.269,reward_phase,reward_phase,,,ID:door1_ir|,9
9,close_start_door_1,1383.121,reward_phase,reward_phase,,,ID:door_1|,9
9,close_finished_door_1,1385.228,reward_phase,reward_phase,,,ID:door_1|,9
9,output_activated,1385.233,reward_phase,reward_phase,,,ID:round_LED|,9
9,output_deactivated,1397.458,reward_phase,reward_phase,,,ID:round_LED|,9
10,new_round,1442.467,lever_2_out,lever_2_out,,,ID:round_LED|,10
10,tone_start_round_start,1442.469,lever_2_out,lever_2_out,,,ID:speaker|,10
